# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​),Dynamic Pressure (mbar)
0,0,0,0,0,0,0,90,3.647e4,1.355e4,15.727,0.307,NaN,209.118,0,0.463,15,1013.25,0.007,0
0.01,0,0.01,6.289,0,0,0,89.727,3.646e4,1.354e4,15.726,0.307,NaN,209.115,1.208e-8,0.464,15,1013.25,0.006,6.731e-7
0.02,6.874e-4,0.154,22.378,-8.845e-7,0,8.845e-7,85.972,3.645e4,1.353e4,15.725,0.307,NaN,209.111,3.7e-5,0.464,15,1013.25,0.006,1.449e-4
0.03,0.004,0.458,38.475,-3.09e-6,0,3.09e-6,78.071,3.644e4,1.352e4,15.724,0.307,NaN,209.108,8.997e-4,0.463,15,1013.25,0.007,0.001
0.04,0.01,0.923,54.579,-6.646e-6,0,6.646e-6,66.777,3.643e4,1.351e4,15.723,0.307,NaN,209.105,0.006,0.46,15,1013.249,0.007,0.005
0.045,0.016,1.216,62.634,-8.966e-6,0,8.966e-6,60.429,3.643e4,1.351e4,15.723,0.307,NaN,209.103,0.013,0.457,15,1013.248,0.007,0.009
0.052,0.027,1.682,61.635,-1.321e-5,0,1.321e-5,51.74,3.642e4,1.349e4,15.721,0.307,NaN,209.098,0.03,0.451,15,1013.247,0.008,0.017
0.062,0.046,2.292,60.301,-1.953e-5,0,1.953e-5,42.826,3.64e4,1.348e4,15.719,0.307,NaN,209.092,0.062,0.443,15,1013.245,0.009,0.032
0.067,0.057,2.562,59.701,-2.238e-5,0,2.238e-5,39.612,3.639e4,1.347e4,15.719,0.307,NaN,209.089,0.08,0.44,15,1013.243,0.01,0.04
0.074,0.076,2.985,65.554,-2.664e-5,0,2.664e-5,35.313,3.638e4,1.346e4,15.717,0.307,NaN,209.085,0.111,0.435,15,1013.241,0.011,0.055
0.084,0.11,3.702,74.448,-3.312e-5,0,3.312e-5,29.625,3.636e4,1.344e4,15.715,0.307,NaN,209.078,0.172,0.427,14.999,1013.237,0.013,0.084
0.094,0.151,4.425,70.106,-3.945e-5,0,3.945e-5,25.35,3.634e4,1.342e4,15.713,0.307,NaN,209.071,0.243,0.42,14.999,1013.232,0.014,0.12
0.104,0.199,5.104,65.759,-4.577e-5,0,4.577e-5,22.36,3.632e4,1.34e4,15.711,0.307,NaN,209.064,0.317,0.415,14.999,1013.227,0.016,0.16
0.114,0.253,5.74,61.408,-5.209e-5,0,5.209e-5,20.283,3.63e4,1.338e4,15.709,0.307,NaN,209.057,0.392,0.41,14.998,1013.22,0.018,0.202
0.124,0.313,6.333,57.052,-5.841e-5,0,5.841e-5,18.697,3.629e4,1.336e4,15.707,0.307,NaN,209.05,0.467,0.406,14.998,1013.213,0.02,0.246
0.134,0.379,6.906,57.624,-6.474e-5,0,6.474e-5,17.404,3.627e4,1.335e4,15.705,0.307,NaN,209.044,0.545,0.403,14.998,1013.205,0.021,0.292
0.144,0.451,7.485,58.197,-7.106e-5,0,7.106e-5,16.283,3.625e4,1.333e4,15.703,0.307,NaN,209.038,0.627,0.4,14.997,1013.197,0.023,0.343
0.154,0.529,8.07,58.77,-7.738e-5,0,7.738e-5,15.183,3.624e4,1.331e4,15.702,0.307,NaN,209.032,0.711,0.397,14.997,1013.188,0.025,0.399
0.164,0.613,8.66,59.343,-8.37e-5,0,8.37e-5,14.046,3.622e4,1.33e4,15.7,0.307,NaN,209.026,0.796,0.394,14.996,1013.178,0.026,0.459
0.174,0.702,9.257,59.917,-9.002e-5,0,9.002e-5,13.037,3.62e4,1.328e4,15.698,0.307,NaN,209.02,0.884,0.392,14.995,1013.168,0.028,0.525
0.186,0.818,9.98,60.606,-9.761e-5,0,9.761e-5,11.967,3.618e4,1.326e4,15.696,0.307,NaN,209.012,0.995,0.389,14.995,1013.154,0.03,0.61
0.196,0.921,10.588,60.953,-1.039e-4,0,1.039e-4,11.177,3.617e4,1.324e4,15.694,0.307,NaN,209.006,1.091,0.387,14.994,1013.142,0.032,0.687
0.205,1.023,11.165,61.281,-1.099e-4,0,1.099e-4,10.569,3.615e4,1.323e4,15.692,0.307,216.159,209,1.187,0.385,14.993,1013.13,0.033,0.764
0.22,1.188,12.037,61.773,-1.359e-4,0,1.359e-4,9.814,3.613e4,1.32e4,15.689,0.307,216.835,208.991,1.342,0.382,14.992,1013.111,0.036,0.887
0.231,1.329,12.742,62.168,-1.823e-4,0,1.823e-4,9.275,3.611e4,1.318e4,15.687,0.307,217.332,208.983,1.481,0.382,14.991,1013.094,0.038,0.995
0.248,1.556,13.802,61.902,-2.969e-4,0,2.969e-4,8.567,3.608e4,1.316e4,15.684,0.307,218.005,208.972,1.704,0.382,14.99,1013.068,0.041,1.167
0.274,1.929,15.383,61.501,-5.759e-4,0,5.759e-4,7.616,3.603e4,1.311e4,15.679,0.307,218.945,208.956,2.061,0.382,14.987,1013.024,0.046,1.449
0.298,2.321,16.872,61.119,-9.654e-4,0,9.654e-4,6.872,3.599e4,1.307e4,15.675,0.307,219.711,208.94,2.429,0.382,14.985,1012.978,0.05,1.744
0.334,2.977,19.125,62.478,-0.002,-5.43e-9,0.002,5.807,3.593e4,1.301e4,15.668,0.307,220.857,208.916,3.035,0.383,14.981,1012.901,0.056,2.24
0.371,3.718,21.434,63.843,-0.003,-1.065e-8,0.003,5.139,3.587e4,1.294e4,15.661,0.307,221.609,208.892,3.75,0.383,14.976,1012.814,0.063,2.813
0.421,4.87,24.628,63.937,-0.005,-1.953e-8,0.005,4.618,3.578e4,1.286e4,15.651,0.307,222.215,208.859,4.894,0.383,14.968,1012.679,0.073,3.714
0.471,6.181,27.827,64.027,-0.007,-1.875e-8,0.007,4.038,3.569e4,1.277e4,15.641,0.306,222.909,208.825,6.172,0.383,14.96,1012.525,0.082,4.741
0.521,7.653,31.031,64.113,-0.01,0,0.01,3.412,3.56e4,1.268e4,15.632,0.306,223.68,208.791,7.585,0.383,14.95,1012.352,0.091,5.895
0.534,8.061,31.864,64.135,-0.011,0,0.011,3.301,3.558e4,1.266e4,15.629,0.306,223.82,208.782,7.983,0.383,14.948,1012.305,0.094,6.215
0.554,8.695,33.114,64.092,-0.013,1.204e-8,0.013,3.156,3.555e4,1.262e4,15.625,0.306,224.006,208.769,8.601,0.383,14.943,1012.23,0.097,6.712
0.583,9.691,34.988,64.027,-0.015,2.887e-8,0.015,3.035,3.55e4,1.257e4,15.62,0.306,224.164,208.749,9.586,0.384,14.937,1012.113,0.103,7.493
0.627,11.288,37.795,63.926,-0.018,6.063e-8,0.018,2.707,3.542e4,1.25e4,15.611,0.306,224.59,208.72,11.133,0.384,14.927,1011.926,0.111,8.742
0.677,13.257,40.988,63.807,-0.021,1.126e-7,0.021,2.175,3.534e4,1.241e4,15.602,0.306,225.292,208.686,13.003,0.384,14.914,1011.695,0.121,10.28
0.727,15.386,44.176,63.683,-0.024,1.863e-7,0.024,1.73,3.525e4,1.233e4,15.592,0.306,225.897,208.652,15.036,0.384,14.9,1011.445,0.13,11.938
0.777,17.675,47.357,63.554,-0.026,3.031e-7,0.026,1.347,3.516e4,1.224e4,15.583,0.306,226.43,208.618,17.229,0.385,14.885,1011.177,0.139,13.716
0.827,20.122,50.531,63.42,-0.026,5.122e-7,0.026,1.065,3.508e4,1.215e4,15.573,0.306,226.833,208.584,19.589,0.385,14.869,1010.89,0.149,15.613
0.877,22.728,53.698,63.281,-0.024,8.872e-7,0.024,0.765,3.499e4,1.207e4,15.563,0.306,227.27,208.549,22.101,0.386,14.852,1010.584,0.158,17.627
0.927,25.492,56.858,63.137,-0.019,1.52e-6,0.019,0.453,3.49e4,1.198e4,15.554,0.305,227.73,208.514,24.768,0.386,14.834,1010.26,0.167,19.757
0.979,28.556,60.159,62.981,-0.009,2.561e-6,0.009,0.243,3.481e4,1.189e4,15.544,0.305,228.05,208.478,27.741,0.386,14.814,1009.901,0.177,22.112
1.029,31.643,63.32,63.473,0.005,4.042e-6,0.005,0.063,3.473e4,1.181e4,15.534,0.305,228.331,208.443,30.757,0.387,14.794,1009.539,0.186,24.489
1.079,34.888,66.504,63.962,0.024,6.197e-6,0.024,0.079,3.464e4,1.172e4,15.525,0.305,228.327,208.408,33.964,0.387,14.773,1009.158,0.196,27.006
1.129,38.293,69.712,64.448,0.05,9.212e-6,0.05,0.18,3.456e4,1.163e4,15.515,0.305,228.2,208.373,37.367,0.388,14.751,1008.759,0.205,29.665
1.142,39.205,70.55,64.574,0.058,1.016e-5,0.058,0.204,3.453e4,1.161e4,15.513,0.305,228.171,208.364,38.284,0.388,14.745,1008.652,0.207,30.38
1.161,40.593,71.809,64.629,0.071,1.17e-5,0.071,0.277,3.45e4,1.158e4,15.509,0.305,228.073,208.35,39.683,0.388,14.736,1008.489,0.211,31.47
1.191,42.721,73.699,64.71,0.093,1.432e-5,0.093,0.419,3.445e4,1.153e4,15.503,0.305,227.882,208.329,41.838,0.389,14.722,1008.24,0.217,33.142
1.235,46.017,76.538,64.828,0.131,1.887e-5,0.131,0.532,3.437e4,1.145e4,15.494,0.305,227.741,208.297,45.186,0.389,14.701,1007.853,0.225,35.733
1.285,49.924,79.779,64.959,0.183,2.486e-5,0.183,0.654,3.429e4,1.136e4,15.485,0.305,227.591,208.261,49.175,0.39,14.675,1007.395,0.235,38.809
1.335,53.994,83.026,65.084,0.245,3.16e-5,0.245,0.737,3.42e4,1.128e4,15.475,0.305,227.5,208.224,53.347,0.39,14.649,1006.917,0.244,42.017
1.385,58.226,86.279,65.205,0.319,3.914e-5,0.319,0.77,3.411e4,1.119e4,15.465,0.305,227.48,208.188,57.696,0.391,14.622,1006.421,0.254,45.355
1.435,62.62,89.537,65.321,0.404,4.763e-5,0.404,0.819,3.403e4,1.11e4,15.455,0.304,227.438,208.151,62.233,0.392,14.593,1005.906,0.263,48.826
1.485,67.178,92.802,65.43,0.501,5.754e-5,0.501,0.787,3.394e4,1.102e4,15.446,0.304,227.512,208.114,66.94,0.393,14.563,1005.371,0.273,52.428
1.535,71.898,96.071,65.534,0.61,6.917e-5,0.61,0.716,3.385e4,1.093e4,15.436,0.304,227.643,208.077,71.823,0.393,14.533,1004.818,0.283,56.163
1.585,76.782,99.347,65.632,0.731,8.273e-5,0.731,0.62,3.376e4,1.084e4,15.426,0.304,227.809,208.039,76.891,0.394,14.501,1004.245,0.292,60.03
1.635,81.83,102.627,65.723,0.865,9.869e-5,0.865,0.492,3.368e4,1.076e4,15.416,0.304,228.023,208.002,82.145,0.395,14.468,1003.653,0.302,64.029
1.685,87.041,105.913,65.809,1.009,1.177e-4,1.009,0.37,3.359e4,1.067e4,15.406,0.304,228.231,207.964,87.597,0.396,14.434,1003.042,0.312,68.161
1.735,92.417,109.203,65.888,1.165,1.404e-4,1.165,0.202,3.35e4,1.058e4,15.396,0.304,228.506,207.926,93.249,0.397,14.399,1002.411,0.321,72.426
1.785,97.957,112.499,65.962,1.33,1.671e-4,1.33,3.899e-4,3.342e4,1.049e4,15.387,0.304,228.834,207.888,99.121,0.397,14.363,1001.761,0.331,76.822
1.835,103.662,115.798,66.03,1.504,1.975e-4,1.504,0.213,3.333e4,1.041e4,15.377,0.304,228.562,207.85,105.226,0.398,14.326,1001.092,0.341,81.351
1.885,109.531,119.101,66.094,1.685,2.304e-4,1.685,0.333,3.324e4,1.032e4,15.367,0.303,228.428,207.811,111.532,0.399,14.288,1000.404,0.351,86.01
1.935,115.566,122.407,66.152,1.873,2.647e-4,1.873,0.456,3.316e4,1.023e4,15.357,0.303,228.292,207.772,118.065,0.4,14.249,999.696,0.36,90.799
1.985,121.766,125.716,66.206,2.066,2.991e-4,2.066,0.478,3.307e4,1.015e4,15.347,0.303,228.301,207.733,124.772,0.401,14.209,998.969,0.37,95.718
2.002,123.959,126.866,66.223,2.134,3.108e-4,2.134,0.462,3.304e4,1.012e4,15.344,0.303,228.338,207.72,127.14,0.402,14.194,998.712,0.373,97.458
2.028,127.287,128.592,66.219,2.238,3.279e-4,2.238,0.43,3.299e4,1.007e4,15.338,0.303,228.406,207.699,130.737,0.402,14.173,998.321,0.379,100.096
2.067,132.362,131.181,66.209,2.396,3.523e-4,2.396,0.384,3.293e4,1e4,15.331,0.303,228.505,207.668,136.243,0.403,14.14,997.726,0.386,104.117
2.117,139,134.491,66.191,2.602,3.807e-4,2.602,0.322,3.284e4,9914.956,15.321,0.303,228.638,207.628,143.477,0.404,14.096,996.948,0.396,109.368
2.167,145.804,137.8,66.168,2.815,4.051e-4,2.815,0.224,3.275e4,9827.469,15.311,0.303,228.822,207.588,150.912,0.405,14.052,996.15,0.406,114.742
2.217,152.774,141.107,66.138,3.034,4.25e-4,3.034,0.121,3.266e4,9739.982,15.301,0.303,229.016,207.548,158.565,0.406,14.007,995.332,0.415,120.236
2.267,159.908,144.413,66.103,3.26,4.415e-4,3.26,0.037,3.258e4,9652.495,15.291,0.303,229.185,207.508,166.426,0.407,13.961,994.495,0.425,125.85
2.289,163.077,145.856,66.087,3.362,4.479e-4,3.362,0.128,3.254e4,9614.274,15.286,0.303,229.074,207.49,169.929,0.408,13.94,994.124,0.43,128.339
2.322,167.889,148.018,65.934,3.518,4.572e-4,3.518,0.192,3.248e4,9557.572,15.28,0.303,229.015,207.464,175.271,0.409,13.909,993.559,0.436,132.112
2.371,175.239,151.251,65.698,3.759,4.716e-4,3.759,0.246,3.24e4,9472.519,15.27,0.302,228.986,207.424,183.434,0.41,13.861,992.697,0.445,137.85
2.421,182.879,154.528,65.453,4.016,4.888e-4,4.016,0.317,3.231e4,9385.992,15.26,0.302,228.936,207.384,191.914,0.411,13.811,991.801,0.455,143.782
2.471,190.683,157.792,65.198,4.284,5.112e-4,4.284,0.338,3.222e4,9299.465,15.25,0.302,228.958,207.343,200.56,0.412,13.761,990.886,0.465,149.808
2.521,198.649,161.043,64.932,4.565,5.42e-4,4.565,0.278,3.214e4,9212.938,15.24,0.302,229.097,207.302,209.363,0.414,13.709,989.952,0.474,155.926
2.571,206.777,164.281,64.656,4.856,5.857e-4,4.856,0.157,3.205e4,9126.412,15.23,0.302,229.324,207.26,218.341,0.415,13.656,988.999,0.484,162.133
2.621,215.066,167.506,64.372,5.158,6.451e-4,5.158,0.007,3.196e4,9039.885,15.22,0.302,229.596,207.219,227.519,0.416,13.602,988.026,0.494,168.427
2.671,223.516,170.718,64.084,5.468,7.192e-4,5.468,0.111,3.188e4,8953.358,15.21,0.302,229.503,207.177,236.89,0.418,13.547,987.035,0.503,174.805
2.721,232.126,173.914,63.792,5.786,8.048e-4,5.786,0.2,3.179e4,8866.831,15.2,0.302,229.435,207.135,246.45,0.419,13.491,986.026,0.513,181.263
2.761,239.144,176.467,63.552,6.045,8.789e-4,6.045,0.253,3.172e4,8797.461,15.192,0.302,229.411,207.101,254.25,0.42,13.446,985.202,0.52,186.496
2.811,248.04,179.632,63.07,6.373,9.733e-4,6.373,0.267,3.164e4,8713.281,15.182,0.302,229.458,207.06,264.105,0.421,13.388,984.159,0.529,193.081
2.861,257.095,182.774,62.579,6.706,0.001,6.706,0.265,3.155e4,8629.102,15.173,0.301,229.532,207.019,274.117,0.423,13.329,983.097,0.539,199.719
2.911,266.305,185.89,62.081,7.044,0.001,7.044,0.158,3.147e4,8544.922,15.163,0.301,229.758,206.977,284.207,0.424,13.269,982.017,0.548,206.404
2.961,275.671,188.981,61.581,7.389,0.001,7.389,0.022,3.138e4,8460.742,15.153,0.301,230.029,206.935,294.421,0.426,13.208,980.918,0.557,213.132
3.011,285.19,192.047,61.08,7.743,0.001,7.743,0.17,3.13e4,8376.563,15.143,0.301,229.897,206.893,304.816,0.427,13.146,979.802,0.566,219.9
3.061,294.861,195.086,60.576,8.107,0.001,8.107,0.282,3.122e4,8292.383,15.134,0.301,229.821,206.851,315.341,0.429,13.083,978.668,0.575,226.702
3.111,304.684,198.099,60.051,8.483,0.001,8.483,0.267,3.113e4,8208.203,15.124,0.301,229.929,206.808,325.951,0.43,13.02,977.516,0.584,233.536
3.121,306.667,198.699,59.944,8.559,0.001,8.559,0.251,3.111e4,8191.368,15.122,0.301,229.968,206.8,328.082,0.43,13.007,977.283,0.586,234.906
3.136,309.651,199.595,59.646,8.675,0.001,8.675,0.223,3.109e4,8167.33,15.119,0.301,230.034,206.787,331.281,0.431,12.987,976.933,0.589,236.961
3.159,314.154,200.931,59.196,8.851,0.002,8.851,0.172,3.105e4,8131.274,15.115,0.301,230.146,206.769,336.082,0.431,12.958,976.405,0.593,240.039
3.192,320.964,202.916,58.519,9.118,0.002,9.118,0.083,3.1e4,8077.189,15.108,0.301,230.333,206.741,343.297,0.432,12.914,975.606,0.599,244.644
3.242,331.174,205.817,57.516,9.523,0.002,9.523,0.057,3.092e4,7997.064,15.099,0.301,230.461,206.7,354.026,0.434,12.847,974.409,0.607,251.437
3.292,341.528,208.667,56.515,9.934,0.002,9.934,0.129,3.084e4,7916.938,15.09,0.301,230.449,206.659,364.749,0.435,12.78,973.194,0.616,258.189
3.342,352.024,211.468,55.51,10.352,0.002,10.352,0.17,3.076e4,7836.813,15.08,0.3,230.484,206.618,375.477,0.437,12.712,971.964,0.624,264.894
3.392,362.658,214.218,54.499,10.775,0.002,10.775,0.155,3.068e4,7756.687,15.071,0.3,230.598,206.576,386.172,0.438,12.643,970.716,0.632,271.546
3.436,372.074,216.583,53.61,11.149,0.002,11.149,0.109,3.061e4,7686.578,15.063,0.3,230.747,206.539,395.506,0.44,12.582,969.612,0.639,277.318
3.486,382.961,219.238,52.593,11.582,0.002,11.582,0.013,3.053e4,7611.147,15.054,0.3,230.979,206.5,406.132,0.441,12.511,968.335,0.647,283.854
3.536,393.98,221.842,51.581,12.023,0.002,12.023,0.099,3.046e4,7535.716,15.045,0.3,230.951,206.46,416.725,0.442,12.439,967.043,0.655,290.322
3.586,405.127,224.394,50.559,12.472,0.002,12.472,0.127,3.038e4,7460.285,15.036,0.3,231.007,206.42,427.288,0.444,12.367,965.735,0.663,296.714
3.636,416.4,226.895,49.531,12.93,0.002,12.93,0.127,3.031e4,7384.854,15.027,0.3,231.103,206.379,437.755,0.445,12.293,964.413,0.67,303.026
3.678,425.965,228.956,48.658,13.323,0.003,13.323,0.077,3.024e4,7321.492,15.02,0.3,231.253,206.345,446.482,0.446,12.231,963.291,0.676,308.264
3.728,437.463,231.352,47.211,13.798,0.003,13.798,0.014,3.017e4,7249.475,15.011,0.3,231.44,206.307,456.764,0.448,12.156,961.943,0.683,314.392
3.778,449.079,233.676,45.769,14.279,0.003,14.279,0.079,3.01e4,7177.459,15.003,0.3,231.441,206.268,466.863,0.449,12.081,960.581,0.69,320.372
3.79,451.884,234.223,45.424,14.396,0.003,14.396,0.087,3.008e4,7160.175,15.001,0.3,231.452,206.258,469.255,0.449,12.063,960.252,0.692,321.784
3.808,456.104,235.028,44.015,14.571,0.003,14.571,0.097,3.006e4,7137.59,14.998,0.3,231.471,206.246,472.785,0.45,12.035,959.757,0.694,323.864
3.835,462.46,236.188,41.905,14.835,0.003,14.835,0.104,3.003e4,7103.713,14.994,0.3,231.51,206.228,477.89,0.451,11.994,959.011,0.698,326.861
3.876,472.051,237.821,38.745,15.233,0.003,15.233,0.088,2.998e4,7052.898,14.988,0.3,231.601,206.2,485.108,0.452,11.932,957.886,0.703,331.081
3.926,483.978,239.661,34.855,15.728,0.003,15.728,0.043,2.991e4,6990.164,14.98,0.299,231.743,206.166,493.279,0.453,11.854,956.487,0.708,335.824
3.976,495.993,241.307,30.983,16.228,0.003,16.228,0.022,2.985e4,6927.429,14.973,0.299,231.843,206.131,500.597,0.454,11.776,955.078,0.713,340.043
4.004,502.876,242.158,28.786,16.516,0.003,16.516,0.06,2.981e4,6891.67,14.969,0.299,231.828,206.111,504.385,0.454,11.731,954.287,0.716,342.216
4.047,513.245,243.328,25.992,16.95,0.003,16.95,0.085,2.978e4,6855.638,14.964,0.299,231.845,206.091,509.602,0.455,11.664,953.129,0.719,345.192
4.097,525.432,244.544,22.74,17.464,0.004,17.464,0.103,2.974e4,6813.495,14.959,0.299,231.873,206.068,514.96,0.456,11.585,951.767,0.723,348.25
4.147,537.675,245.597,19.483,17.984,0.004,17.984,0.062,2.969e4,6771.352,14.954,0.299,231.978,206.045,519.539,0.456,11.505,950.399,0.726,350.851
4.197,549.966,246.489,16.229,18.508,0.004,18.508,0.065,2.965e4,6729.208,14.949,0.299,232.016,206.021,523.42,0.457,11.425,949.026,0.729,352.992
4.247,562.299,247.22,13.022,19.035,0.004,19.035,0.109,2.961e4,6687.065,14.944,0.299,231.988,205.997,526.477,0.457,11.345,947.648,0.731,354.674
4.297,574.663,247.791,9.824,19.562,0.004,19.562,0.076,2.957e4,6644.922,14.939,0.299,232.061,205.974,528.699,0.458,11.265,946.267,0.733,355.895
4.347,587.052,248.203,6.649,20.09,0.004,20.09,0.036,2.953e4,6602.779,14.934,0.299,232.138,205.95,530.167,0.458,11.184,944.882,0.734,356.657
4.397,599.458,248.456,3.55,20.62,0.004,20.62,0.024,2.948e4,6560.636,14.929,0.299,232.167,205.926,530.842,0.458,11.104,943.496,0.735,356.962
4.415,603.989,248.509,2.507,20.814,0.004,20.814,0.055,2.947e4,6545.253,14.927,0.299,232.127,205.918,530.883,0.458,11.074,942.99,0.736,356.96
4.442,610.786,248.546,1.274,21.105,0.004,21.105,0.095,2.945e4,6531.468,14.926,0.299,232.073,205.91,530.733,0.458,11.03,942.231,0.736,356.835
4.483,620.982,248.503,2.779,21.544,0.005,21.544,0.1,2.943e4,6510.789,14.923,0.299,232.066,205.898,530.026,0.458,10.964,941.092,0.736,356.363
4.533,633.391,248.291,6.087,22.08,0.005,22.08,0.088,2.941e4,6485.61,14.92,0.299,232.074,205.884,528.33,0.458,10.883,939.705,0.735,355.331
4.538,634.523,248.263,6.396,22.129,0.005,22.129,0.086,2.941e4,6483.313,14.92,0.299,232.075,205.882,528.13,0.458,10.876,939.579,0.735,355.212
4.545,636.22,248.219,6.731,22.203,0.005,22.203,0.083,2.94e4,6480.859,14.92,0.299,232.078,205.881,527.819,0.458,10.865,939.389,0.735,355.028
4.555,638.766,248.148,7.228,22.314,0.005,22.314,0.072,2.94e4,6477.179,14.919,0.299,232.091,205.879,527.335,0.458,10.848,939.105,0.735,354.738
4.571,642.582,248.032,7.971,22.48,0.005,22.48,0.045,2.939e4,6471.659,14.919,0.299,232.123,205.876,526.566,0.458,10.823,938.678,0.734,354.276
4.594,648.304,247.835,9.099,22.729,0.005,22.729,0.004,2.939e4,6463.379,14.918,0.299,232.174,205.871,525.308,0.458,10.786,938.039,0.734,353.52
4.628,656.876,247.49,10.815,23.102,0.005,23.102,0.055,2.937e4,6450.959,14.916,0.299,232.088,205.864,523.188,0.458,10.73,937.081,0.733,352.246
4.656,663.733,247.171,12.196,23.401,0.005,23.401,0.09,2.936e4,6441.012,14.915,0.299,232.024,205.858,521.288,0.458,10.686,936.315,0.732,351.106
4.698,674,246.637,13.487,23.848,0.005,23.848,0.117,2.935e4,6430.798,14.914,0.299,231.964,205.853,518.18,0.457,10.619,935.168,0.731,349.244
4.748,686.303,245.924,15.019,24.382,0.006,24.382,0.108,2.934e4,6418.528,14.912,0.299,231.947,205.846,514.125,0.457,10.539,933.794,0.729,346.817
4.798,698.568,245.136,16.539,24.914,0.006,24.914,0.022,2.933e4,6406.259,14.911,0.299,232.035,205.839,509.682,0.456,10.459,932.423,0.726,344.187
4.82,704.044,244.758,17.227,25.152,0.006,25.152,0.023,2.932e4,6400.767,14.91,0.299,232.018,205.835,507.59,0.456,10.424,931.811,0.725,342.945
4.854,712.242,244.166,18.093,25.508,0.006,25.508,0.081,2.932e4,6396.04,14.909,0.299,231.911,205.833,504.351,0.456,10.37,930.896,0.724,341.015
4.904,724.416,243.231,19.365,26.039,0.006,26.039,0.126,2.931e4,6388.998,14.909,0.299,231.808,205.829,499.302,0.455,10.291,929.535,0.721,338.009
4.954,736.541,242.233,20.594,26.57,0.006,26.57,0.099,2.93e4,6381.957,14.908,0.299,231.804,205.825,493.98,0.455,10.212,928.181,0.718,334.847
5.005,748.96,241.143,21.838,27.117,0.007,27.117,0.005,2.93e4,6374.713,14.907,0.299,231.892,205.821,488.275,0.454,10.132,926.793,0.715,331.437
5.055,760.978,240.034,22.513,27.647,0.007,27.647,0.084,2.929e4,6372.046,14.907,0.299,231.734,205.819,482.561,0.453,10.054,925.45,0.712,328.011
5.105,772.94,238.892,23.188,28.174,0.007,28.174,0.098,2.929e4,6369.379,14.906,0.299,231.667,205.817,476.71,0.453,9.976,924.114,0.708,324.516
5.155,784.844,237.716,23.857,28.698,0.007,28.698,0.065,2.929e4,6366.711,14.906,0.299,231.665,205.816,470.747,0.452,9.899,922.784,0.705,320.954
5.205,796.688,236.506,24.527,29.218,0.007,29.218,0.014,2.929e4,6364.044,14.906,0.299,231.688,205.814,464.7,0.451,9.822,921.461,0.702,317.327
5.219,799.993,236.161,24.715,29.364,0.007,29.364,0.006,2.929e4,6363.297,14.906,0.299,231.686,205.814,462.988,0.451,9.8,921.091,0.701,316.3
5.24,804.943,235.642,24.754,29.582,0.007,29.582,0.034,2.929e4,6363.118,14.906,0.299,231.625,205.814,460.421,0.451,9.768,920.539,0.699,314.757
5.272,812.346,234.862,24.808,29.908,0.008,29.908,0.045,2.929e4,6362.849,14.906,0.299,231.578,205.814,456.61,0.45,9.72,919.711,0.697,312.448
5.319,823.405,233.688,24.887,30.396,0.008,30.396,0.049,2.929e4,6362.446,14.905,0.299,231.526,205.814,450.919,0.45,9.648,918.476,0.693,308.996
5.371,835.569,232.386,24.976,30.935,0.008,30.935,0.052,2.928e4,6362,14.905,0.299,231.47,205.813,444.644,0.449,9.569,917.117,0.69,305.194
5.421,847.146,231.142,24.768,31.449,0.008,31.449,0.02,2.928e4,6362,14.905,0.299,231.466,205.813,438.72,0.448,9.494,915.823,0.686,301.592
5.471,858.66,229.909,24.564,31.961,0.008,31.961,0.015,2.928e4,6362,14.905,0.299,231.426,205.813,432.898,0.448,9.419,914.537,0.682,298.042
5.521,870.114,228.686,24.367,32.471,0.009,32.471,0.042,2.928e4,6362,14.905,0.299,231.34,205.813,427.178,0.447,9.344,913.257,0.679,294.544
5.571,881.506,227.472,24.175,32.979,0.009,32.979,0.04,2.928e4,6362,14.905,0.299,231.297,205.813,421.542,0.446,9.27,911.984,0.675,291.096
5.621,892.839,226.268,23.987,33.484,0.009,33.484,0.013,2.928e4,6362,14.905,0.299,231.289,205.813,415.991,0.446,9.197,910.718,0.672,287.698
5.671,904.111,225.074,23.802,33.987,0.009,33.987,0.005,2.928e4,6362,14.905,0.299,231.256,205.813,410.554,0.445,9.123,909.459,0.669,284.348
5.721,915.324,223.888,23.622,34.487,0.01,34.487,0.016,2.928e4,6362,14.905,0.299,231.197,205.813,405.199,0.444,9.05,908.206,0.665,281.046
5.771,926.478,222.712,23.446,34.987,0.01,34.987,0.039,2.928e4,6362,14.905,0.299,231.12,205.813,399.922,0.444,8.978,906.96,0.662,277.79
5.821,937.573,221.544,23.264,35.484,0.01,35.484,0.008,2.928e4,6362,14.905,0.299,231.122,205.813,394.763,0.443,8.906,905.72,0.658,274.579
5.871,948.61,220.385,23.088,35.98,0.011,35.98,0.018,2.928e4,6362,14.905,0.299,231.066,205.813,389.684,0.442,8.834,904.487,0.655,271.414
5.921,959.589,219.235,22.916,36.474,0.011,36.474,0.038,2.928e4,6362,14.905,0.299,230.996,205.813,384.69,0.442,8.763,903.261,0.652,268.292
